District,Thana,SubOffice,Post Code,location,coordinate
Jamalpur,Bakshiganj,Bakshiganj,2140,"2140 Bakshiganj,Jamalpur","25.184411,89.86805059999999"
Jamalpur,Dewangonj,Dewangonj,2030,"2030 Dewangonj,Jamalpur","25.1439211,89.7597095"
Jamalpur,Dewangonj,Dewangonj S. Mills,2032,"2032 Dewangonj S. Mills,Jamalpur","25.3310623,89.79131629999999"
Jamalpur,Islampur,Durmoot,2021,"2021 Durmoot,Jamalpur","25.0830926,89.78532179999999"
Jamalpur,Islampur,Gilabari,2022,"2022 Gilabari,Jamalpur","25.0827867,89.7168665"
Jamalpur,Islampur,Islampur,2020,"2020 Islampur,Jamalpur","25.1101822,89.7743613"
Jamalpur,Jamalpur,Jamalpur,2000,"2000 Jamalpur,Jamalpur","24.9249785,89.9463408"
Jamalpur,Jamalpur,Nandina,2001,"2001 Nandina,Jamalpur","24.8693548,90.0344032"
Jamalpur,Jamalpur,Narundi,2002,"2002 Narundi,Jamalpur","24.86755,90.11703370000001"
Jamalpur,Melandah,Jalalpur,2011,"2011 Jalalpur,Jamalpur","29.11783269999999,77.8167146"
Jamalpur,Melandah,Mahmudpur,2013,"2013 Mahmudpur,Jamalpur","24.9870994,89.7661527"
Jamalpur,Melandah,Malancha,2012,"2012 Malancha,Jamalpur","24.9442106,89.86571119999999"
Jamalpur,Melandah,Melandah,2010,"2010 Melandah,Jamalpur","24.98125,89.82708939999999"
Jamalpur,Madarganj,Balijhuri,2041,"2041 Balijhuri,Jamalpur","24.8920727,89.7098185"
Jamalpur,Madarganj,Madarganj,2040,"2040 Madarganj,Jamalpur","24.9069204,89.7168647"
Jamalpur,Sharishabari,Bausee,2052,"2052 Bausee,Jamalpur","24.9249785,89.9463408"
Jamalpur,Madarganj,Adarvita,2051,"2051 Adarvita,Jamalpur","24.8483219,89.7941625"
Jamalpur,Sharishabari,Jagannath Ghat,2053,"2053 Jagannath Ghat,Jamalpur","24.9249785,89.9463408"
Jamalpur,Sharishabari,Jamuna Sar Karkhana,2055,"2055 Jamuna Sar Karkhana,Jamalpur","24.6745179,89.8267239"
Jamalpur,Sharishabari,Pingna,2054,"2054 Pingna,Jamalpur","24.6183039,89.808988"
Jamalpur,Sharishabari,Sharishabari,2050,"2050 Sharishabari,Jamalpur","24.7669433,89.8409152"
Mymensingh,Bhaluka,Bhaluka,2240,"2240 Bhaluka,Mymensingh","24.407929,90.3866074"
Mymensingh,Fulbaria,Fulbaria,2216,"2216 Fulbaria,Mymensingh","24.6372286,90.2717911"
Mymensingh,Gaforgaon,Dobasia,2234,"2234 Dobasia,Mymensingh","24.3120926,90.6180479"
Mymensingh,Gaforgaon,Gaforgaon,2230,"2230 Gaforgaon,Mymensingh","24.4571749,90.54871759999999"
Mymensingh,Gaforgaon,Kandipara,2233,"2233 Kandipara,Mymensingh","24.3701564,90.58608559999999"
Mymensingh,Gaforgaon,Shibganj,2231,"2231 Shibganj,Mymensingh","24.6837476,88.15719349999999"
Mymensingh,Gaforgaon,Usti,2232,"2232 Usti,Mymensingh","24.7471492,90.4202734"
Mymensingh,Gouripur,Gouripur,2270,"2270 Gouripur,Mymensingh","24.7547756,90.56833990000001"
Mymensingh,Gouripur,Ramgopalpur,2271,"2271 Ramgopalpur,Mymensingh","24.7014005,90.554149"
Mymensingh,Haluaghat,Dhara,2261,"2261 Dhara,Mymensingh","25.05,90.35"
Mymensingh,Haluaghat,Haluaghat,2260,"2260 Haluaghat,Mymensingh","25.1218233,90.3407167"
Mymensingh,Haluaghat,Munshirhat,2262,"2262 Munshirhat,Mymensingh","25.0903933,90.45259539999999"
Mymensingh,Isshwargonj,Atharabari,2282,"2282 Atharabari,Mymensingh","24.633934,90.7140878"
Mymensingh,Isshwargonj,Isshwargonj,2280,"2280 Isshwargonj,Mymensingh","24.6923421,90.5943697"
Mymensingh,Isshwargonj,Sohagi,2281,"2281 Sohagi,Mymensingh","24.6950658,90.6535914"
Mymensingh,Muktagachha,Muktagachha,2210,"2210 Muktagachha,Mymensingh","24.7660178,90.2561365"
Mymensingh,Mymensingh Sadar,Agriculture Universi,2202,"2202 Agriculture Universi,Mymensingh","24.7196252,90.4266584"
Mymensingh,Mymensingh Sadar,Biddyaganj,2204,"2204 Biddyaganj,Mymensingh","24.8238422,90.2561015"
Mymensingh,Mymensingh Sadar,Kawatkhali,2201,"2201 Kawatkhali,Mymensingh","24.7329924,90.4231228"
Mymensingh,Mymensingh Sadar,Mymensingh Sadar,2200,"2200 Mymensingh Sadar,Mymensingh","24.7471492,90.4202734"
Mymensingh,Mymensingh Sadar,Pearpur,2205,"2205 Pearpur,Mymensingh","23.1738689,90.14481819999999"
Mymensingh,Mymensingh Sadar,Shombhuganj,2203,"2203 Shombhuganj,Mymensingh","24.7640858,90.4478783"
Mymensingh,Nandail,Gangail,2291,"2291 Gangail,Mymensingh","24.2513451,89.9167104"
Mymensingh,Nandail,Nandail,2290,"2290 Nandail,Mymensingh","24.5687223,90.6903529"
Mymensingh,Phulpur,Beltia,2251,"2251 Beltia,Mymensingh","24.8940742,89.94885839999999"
Mymensingh,Phulpur,Phulpur,2250,"2250 Phulpur,Mymensingh","24.9542133,90.363067"
Mymensingh,Phulpur,Tarakanda,2252,"2252 Tarakanda,Mymensingh","24.8455806,90.35971669999999"
Mymensingh,Trishal,Ahmadbad,2221,"2221 Ahmadbad,Mymensingh","24.7471492,90.4202734"
Mymensingh,Trishal,Dhala,2223,"2223 Dhala,Mymensingh","24.5294602,90.508957"
Mymensingh,Trishal,Ram Amritaganj,2222,"2222 Ram Amritaganj,Mymensingh","24.7471492,90.4202734"
Mymensingh,Trishal,Trishal,2220,"2220 Trishal,Mymensingh","24.5816585,90.3948498"
Netrakona,Susung Durgapur,Susnng Durgapur,2420,"2420 Susnng Durgapur,Netrakona","25.1275118,90.6759356"
Netrakona,Atpara,Atpara,2470,"2470 Atpara,Netrakona","24.8097761,90.8603645"
Netrakona,Barhatta,Barhatta,2440,"2440 Barhatta,Netrakona","24.8986484,90.8841992"
Netrakona,Dharmapasha,Dharampasha,2450,"2450 Dharampasha,Netrakona","24.8993243,91.0119509"
Netrakona,Dhobaura,Dhobaura,2416,"2416 Dhobaura,Netrakona","25.0899993,90.5222045"
Netrakona,Dhobaura,Sakoai,2417,"2417 Sakoai,Netrakona","24.8816911,90.72714789999999"
Netrakona,Kalmakanda,Kalmakanda,2430,"2430 Kalmakanda,Netrakona","25.0765713,90.88896779999999"
Netrakona,Kendua,Kendua,2480,"2480 Kendua,Netrakona","24.6703752,90.8436885"
Netrakona,Khaliajuri,Khaliajhri,2460,"2460 Khaliajhri,Netrakona","24.689261,91.13290339999999"
Netrakona,Khaliajuri,Shaldigha,2462,"2462 Shaldigha,Netrakona","24.8467601,90.5766964"
Netrakona,Madan,Madan,2490,"2490 Madan,Netrakona","24.7142924,90.9462345"
Netrakona,Moddhynagar,Moddoynagar,2456,"2456 Moddoynagar,Netrakona","24.8816911,90.72714789999999"
Netrakona,Mohanganj,Mohanganj,2446,"2446 Mohanganj,Netrakona","24.8743218,90.979677"
Netrakona,Netrakona Sadar,Baikherhati,2401,"2401 Baikherhati,Netrakona","24.8816911,90.72714789999999"
Netrakona,Netrakona Sadar,Netrakona Sadar,2400,"2400 Netrakona Sadar,Netrakona","24.8550453,90.7152749"
Netrakona,Purbadhola,Jaria Jhanjhail,2412,"2412 Jaria Jhanjhail,Netrakona","24.9800044,90.634631"
Netrakona,Purbadhola,Purbadhola,2410,"2410 Purbadhola,Netrakona","24.9405819,90.5987653"
Netrakona,Purbadhola,Shamgonj,2411,"2411 Shamgonj,Netrakona","24.8422709,90.5813527"
Sherpur,Bakshigonj,Bakshigonj,2140,"2140 Bakshigonj,Sherpur","25.1576648,89.92165639999999"
Sherpur,Jhinaigati,Jhinaigati,2120,"2120 Jhinaigati,Sherpur","25.1859383,90.0629989"
Sherpur,Nakla,Gonopaddi,2151,"2151 Gonopaddi,Sherpur","25.0194045,90.0137328"
Sherpur,Nakla,Nakla,2150,"2150 Nakla,Sherpur","24.9684271,90.1785005"
Sherpur,Nalitabari,Hatibandha,2111,"2111 Hatibandha,Sherpur","25.1266402,90.0770127"
Sherpur,Nalitabari,Nalitabari,2110,"2110 Nalitabari,Sherpur","25.0850233,90.1939932"
Sherpur,Sherpur Shadar,Sherpur Shadar,2100,"2100 Sherpur Shadar,Sherpur","25.0194045,90.0137328"
Sherpur,Shribardi,Shribardi,2130,"2130 Shribardi,Sherpur","25.147401,89.9393363"